station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-01,0,21.8,,50
东城区,2026-05-01,1,23.9,,50
东城区,2026-05-01,2,22.9,,50
东城区,2026-05-01,3,23.2,,50
东城区,2026-05-01,4,26.8,,50
东城区,2026-05-01,5,26.7,,50
东城区,2026-05-01,6,30.2,,50
东城区,2026-05-01,7,28.4,,50
东城区,2026-05-01,8,29.8,,50
东城区,2026-05-01,9,29.4,,50
东城区,2026-05-01,10,28.1,,50
东城区,2026-05-01,11,29.2,,50
东城区,2026-05-01,12,28.8,,50
东城区,2026-05-01,13,26.8,,50
东城区,2026-05-01,14,26.0,,50
东城区,2026-05-01,15,21.2,,50
东城区,2026-05-01,16,26.2,,50
东城区,2026-05-01,17,26.3,,50
东城区,2026-05-01,18,25.1,,50
东城区,2026-05-01,19,26.5,,50
东城区,2026-05-01,20,31.7,,50
东城区,2026-05-01,21,31.6,,50
东城区,2026-05-01,22,25.0,,50
东城区,2026-05-01,23,26.3,,50
