station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-08,0,89.5,,160
东城区,2026-05-08,1,83.2,,160
东城区,2026-05-08,2,88.4,,160
东城区,2026-05-08,3,87.0,,160
东城区,2026-05-08,4,87.9,,160
东城区,2026-05-08,5,84.2,,160
东城区,2026-05-08,6,68.4,,160
东城区,2026-05-08,7,85.2,,160
东城区,2026-05-08,8,83.4,,160
东城区,2026-05-08,9,92.7,,160
东城区,2026-05-08,10,100.7,,160
东城区,2026-05-08,11,115.3,,160
东城区,2026-05-08,12,122.2,,160
东城区,2026-05-08,13,138.8,,160
东城区,2026-05-08,14,138.6,,160
东城区,2026-05-08,15,140.3,,160
东城区,2026-05-08,16,144.7,,160
东城区,2026-05-08,17,140.5,,160
东城区,2026-05-08,18,143.5,,160
东城区,2026-05-08,19,122.2,,160
东城区,2026-05-08,20,119.4,,160
东城区,2026-05-08,21,100.6,,160
东城区,2026-05-08,22,110.4,,160
东城区,2026-05-08,23,111.8,,160
