station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-04-29,0,68.3,,160
东城区,2026-04-29,1,66.8,,160
东城区,2026-04-29,2,69.1,,160
东城区,2026-04-29,3,62.4,,160
东城区,2026-04-29,4,63.1,,160
东城区,2026-04-29,5,63.7,,160
东城区,2026-04-29,6,59.5,,160
东城区,2026-04-29,7,53.0,,160
东城区,2026-04-29,8,60.3,,160
东城区,2026-04-29,9,48.5,,160
东城区,2026-04-29,10,74.1,,160
东城区,2026-04-29,11,83.6,,160
东城区,2026-04-29,12,88.8,,160
东城区,2026-04-29,13,95.0,,160
东城区,2026-04-29,14,97.8,,160
东城区,2026-04-29,15,105.7,,160
东城区,2026-04-29,16,114.2,,160
东城区,2026-04-29,17,120.3,,160
东城区,2026-04-29,18,116.1,,160
东城区,2026-04-29,19,113.2,,160
东城区,2026-04-29,20,108.3,,160
东城区,2026-04-29,21,91.4,,160
东城区,2026-04-29,22,80.5,,160
东城区,2026-04-29,23,89.1,,160
