station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-08,0,15.0,,50
东城区,2026-05-08,1,22.6,,50
东城区,2026-05-08,2,27.5,,50
东城区,2026-05-08,3,26.5,,50
东城区,2026-05-08,4,27.3,,50
东城区,2026-05-08,5,26.5,,50
东城区,2026-05-08,6,24.2,,50
东城区,2026-05-08,7,25.6,,50
东城区,2026-05-08,8,22.7,,50
东城区,2026-05-08,9,29.6,,50
东城区,2026-05-08,10,30.7,,50
东城区,2026-05-08,11,24.6,,50
东城区,2026-05-08,12,32.2,,50
东城区,2026-05-08,13,38.2,,50
东城区,2026-05-08,14,35.6,,50
东城区,2026-05-08,15,32.7,,50
东城区,2026-05-08,16,30.5,,50
东城区,2026-05-08,17,29.8,,50
东城区,2026-05-08,18,37.7,,50
东城区,2026-05-08,19,44.4,,50
东城区,2026-05-08,20,44.3,,50
东城区,2026-05-08,21,42.7,,50
东城区,2026-05-08,22,46.9,,50
东城区,2026-05-08,23,46.6,,50
