station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-05,0,17.4,,50
东城区,2026-05-05,1,18.7,,50
东城区,2026-05-05,2,17.2,,50
东城区,2026-05-05,3,15.7,,50
东城区,2026-05-05,4,18.7,,50
东城区,2026-05-05,5,17.5,,50
东城区,2026-05-05,6,20.4,,50
东城区,2026-05-05,7,21.4,,50
东城区,2026-05-05,8,26.0,,50
东城区,2026-05-05,9,26.6,,50
东城区,2026-05-05,10,23.7,,50
东城区,2026-05-05,11,24.9,,50
东城区,2026-05-05,12,26.1,,50
东城区,2026-05-05,13,25.7,,50
东城区,2026-05-05,14,20.5,,50
东城区,2026-05-05,15,21.0,,50
东城区,2026-05-05,16,21.9,,50
东城区,2026-05-05,17,20.8,,50
东城区,2026-05-05,18,25.3,,50
东城区,2026-05-05,19,25.2,,50
东城区,2026-05-05,20,29.9,,50
东城区,2026-05-05,21,30.3,,50
东城区,2026-05-05,22,27.4,,50
东城区,2026-05-05,23,27.1,,50
