station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-05,0,116.9,,160
东城区,2026-05-05,1,110.1,,160
东城区,2026-05-05,2,104.0,,160
东城区,2026-05-05,3,95.9,,160
东城区,2026-05-05,4,81.9,,160
东城区,2026-05-05,5,79.1,,160
东城区,2026-05-05,6,69.9,,160
东城区,2026-05-05,7,74.0,,160
东城区,2026-05-05,8,78.4,,160
东城区,2026-05-05,9,85.9,,160
东城区,2026-05-05,10,113.1,,160
东城区,2026-05-05,11,129.1,,160
东城区,2026-05-05,12,145.4,,160
东城区,2026-05-05,13,162.7,,160
东城区,2026-05-05,14,168.2,,160
东城区,2026-05-05,15,169.5,,160
东城区,2026-05-05,16,168.0,,160
东城区,2026-05-05,17,164.3,,160
东城区,2026-05-05,18,164.3,,160
东城区,2026-05-05,19,153.0,,160
东城区,2026-05-05,20,134.9,,160
东城区,2026-05-05,21,134.0,,160
东城区,2026-05-05,22,121.7,,160
东城区,2026-05-05,23,118.3,,160
