station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-12,0,107.0,,160
东城区,2026-05-12,1,109.7,,160
东城区,2026-05-12,2,90.7,,160
东城区,2026-05-12,3,91.2,,160
东城区,2026-05-12,4,83.0,,160
东城区,2026-05-12,5,74.1,,160
东城区,2026-05-12,6,68.7,,160
东城区,2026-05-12,7,72.0,,160
东城区,2026-05-12,8,76.4,,160
东城区,2026-05-12,9,90.9,,160
东城区,2026-05-12,10,98.9,,160
东城区,2026-05-12,11,141.7,,160
东城区,2026-05-12,12,164.5,,160
东城区,2026-05-12,13,178.2,,160
东城区,2026-05-12,14,187.5,,160
东城区,2026-05-12,15,187.4,,160
东城区,2026-05-12,16,184.4,,160
东城区,2026-05-12,17,190.0,,160
东城区,2026-05-12,18,184.8,,160
东城区,2026-05-12,19,175.0,,160
东城区,2026-05-12,20,150.0,,160
东城区,2026-05-12,21,128.4,,160
东城区,2026-05-12,22,120.2,,160
东城区,2026-05-12,23,125.5,,160
