station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-03,0,30.0,,50
东城区,2026-05-03,1,32.6,,50
东城区,2026-05-03,2,28.8,,50
东城区,2026-05-03,3,29.4,,50
东城区,2026-05-03,4,27.8,,50
东城区,2026-05-03,5,25.7,,50
东城区,2026-05-03,6,32.7,,50
东城区,2026-05-03,7,31.5,,50
东城区,2026-05-03,8,28.5,,50
东城区,2026-05-03,9,29.9,,50
东城区,2026-05-03,10,26.0,,50
东城区,2026-05-03,11,29.0,,50
东城区,2026-05-03,12,25.0,,50
东城区,2026-05-03,13,24.6,,50
东城区,2026-05-03,14,18.8,,50
东城区,2026-05-03,15,22.1,,50
东城区,2026-05-03,16,21.1,,50
东城区,2026-05-03,17,19.8,,50
东城区,2026-05-03,18,23.3,,50
东城区,2026-05-03,19,23.2,,50
东城区,2026-05-03,20,25.3,,50
东城区,2026-05-03,21,24.8,,50
东城区,2026-05-03,22,32.8,,50
东城区,2026-05-03,23,32.3,,50
