pollutant,site_name,station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold,exceed_probability (%)
pm25,晋江一中,东城区,2026-05-18,7,12.2,,50.0,4.02
pm25,晋江一中,东城区,2026-05-18,8,11.5,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,9,8.0,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,10,8.8,,50.0,4.04
pm25,晋江一中,东城区,2026-05-18,11,9.9,,50.0,4.02
pm25,晋江一中,东城区,2026-05-18,12,7.5,,50.0,4.04
pm25,晋江一中,东城区,2026-05-18,13,5.5,,50.0,4.04
pm25,晋江一中,东城区,2026-05-18,14,6.5,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,15,0.7,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,16,3.2,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,17,2.6,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,18,3.5,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,19,9.6,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,20,15.5,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,21,13.7,,50.0,4.04
pm25,晋江一中,东城区,2026-05-18,22,15.1,,50.0,4.03
pm25,晋江一中,东城区,2026-05-18,23,3.0,,50.0,4.03
pm25,晋江一中,东城区,2026-05-19,0,8.7,,50.0,4.03
pm25,晋江一中,东城区,2026-05-19,1,16.4,,50.0,4.02
pm25,晋江一中,东城区,2026-05-19,2,7.3,,50.0,4.03
pm25,晋江一中,东城区,2026-05-19,3,13.4,,50.0,4.03
pm25,晋江一中,东城区,2026-05-19,4,17.1,,50.0,4.04
pm25,晋江一中,东城区,2026-05-19,5,22.5,,50.0,4.09
pm25,晋江一中,东城区,2026-05-19,6,19.5,,50.0,4.04
