station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-01,0,112.9,,160
东城区,2026-05-01,1,111.0,,160
东城区,2026-05-01,2,100.4,,160
东城区,2026-05-01,3,92.5,,160
东城区,2026-05-01,4,88.9,,160
东城区,2026-05-01,5,77.0,,160
东城区,2026-05-01,6,75.8,,160
东城区,2026-05-01,7,73.1,,160
东城区,2026-05-01,8,68.7,,160
东城区,2026-05-01,9,73.3,,160
东城区,2026-05-01,10,85.7,,160
东城区,2026-05-01,11,96.1,,160
东城区,2026-05-01,12,103.1,,160
东城区,2026-05-01,13,117.4,,160
东城区,2026-05-01,14,125.8,,160
东城区,2026-05-01,15,143.8,,160
东城区,2026-05-01,16,144.2,,160
东城区,2026-05-01,17,123.5,,160
东城区,2026-05-01,18,112.1,,160
东城区,2026-05-01,19,115.9,,160
东城区,2026-05-01,20,102.9,,160
东城区,2026-05-01,21,96.4,,160
东城区,2026-05-01,22,98.0,,160
东城区,2026-05-01,23,94.5,,160
