  1000, 113.9460,  30.9000,      10.
  1001, 113.9740,  30.9550,      10.
  1002, 113.9640,  30.9490,      10.
  1003, 113.9110,  30.8880,      10.
  1004, 113.8350,  30.7830,       9.
  1005, 113.7560,  30.6470,       9.
  1006, 113.6750,  30.4820,       9.
  1007, 113.5980,  30.2910,       8.
  1008, 113.5240,  30.0830,       8.
  1009, 113.4500,  29.8590,      13.
  1010, 113.3820,  29.6160,      44.
  1011, 113.3370,  29.3220,      94.
  1012, 113.3490,  29.0210,     127.
  1013, 113.4110,  28.7660,     177.
  1014, 113.5000,  28.5960,     196.
  1015, 113.5980,  28.4620,     265.
  1016, 113.7080,  28.3450,     360.
  1017, 113.8400,  28.2370,     436.
  1018, 113.9800,  28.1330,     499.
  1019, 114.0920,  28.0280,     550.
  1020, 114.1770,  27.9310,     583.
  1021, 114.2430,  27.8440,     617.
  1022, 114.2870,  27.7430,     670.
  1023, 114.3070,  27.6120,     726.
  1024, 114.3230,  27.4390,     754.
  1025, 114.3600,  27.2250,     634.
  1026, 114.4250,  26.9880,     597.
  1027, 114.5030,  26.7740,     664.
  1028, 114.5870,  26.6090,     650.
  1029, 114.6740,  26.4890,     667.
  1030, 114.7530,  26.4100,     710.
  1031, 114.8120,  26.3590,     754.
  1032, 114.8470,  26.3210,     805.
  1033, 114.8620,  26.2910,     876.
  1034, 114.8600,  26.2570,     960.
  1035, 114.8470,  26.2110,    1025.
  1036, 114.8260,  26.1520,    1063.
  1037, 114.8000,  26.0830,    1086.
  1038, 114.7690,  26.0070,    1099.
  1039, 114.7340,  25.9270,    1116.
  2000, 113.9460,  30.9000,      10.
  2005, 113.8750,  30.7660,       5.
  2006, 113.8040,  30.6010,       4.
  2007, 113.7280,  30.4180,       3.
  2008, 113.6530,  30.2220,       0.
  2009, 113.5820,  30.0080,       0.
  2010, 113.5170,  29.7880,      13.
  2011, 113.4580,  29.5430,      65.
  2012, 113.4350,  29.2430,     122.
  2013, 113.4790,  28.9720,     195.
  2014, 113.5720,  28.7700,     269.
  2015, 113.6810,  28.6530,     335.
  2016, 113.7670,  28.5530,     438.
  2017, 113.8290,  28.4330,     553.
  2018, 113.8900,  28.2800,     617.
  2019, 113.9650,  28.1280,     652.
  2020, 114.0180,  27.9860,     699.
  2021, 114.0530,  27.8540,     742.
  2022, 114.0810,  27.7360,     771.
  2023, 114.1010,  27.6200,     825.
  2024, 114.1190,  27.4910,     960.
  2025, 114.1330,  27.3630,    1054.
  2026, 114.1470,  27.2570,    1022.
  2027, 114.1680,  27.1610,     930.
  2028, 114.2050,  27.0700,     895.
  2029, 114.2450,  27.0010,     914.
  2030, 114.2780,  26.9640,     906.
  2031, 114.2990,  26.9450,     877.
  2032, 114.2970,  26.9340,     856.
  2033, 114.2730,  26.9350,     846.
  2034, 114.2330,  26.9370,     892.
  2035, 114.1910,  26.9250,     931.
  2036, 114.1500,  26.9040,     943.
  2037, 114.1050,  26.8800,     950.
  2038, 114.0470,  26.8570,     960.
  2039, 113.9720,  26.8320,     974.
  3000, 113.9460,  30.9000,      10.
  3009, 113.8980,  30.6830,       3.
  3010, 113.8630,  30.4680,       1.
  3011, 113.8240,  30.2680,       0.
  3012, 113.7820,  30.0780,       1.
  3013, 113.7650,  29.9050,       9.
  3014, 113.7900,  29.7440,      59.
  3015, 113.8470,  29.5850,     161.
  3016, 113.9120,  29.4310,     288.
  3017, 113.9780,  29.2820,     446.
  3018, 114.0220,  29.1190,     599.
  3019, 114.0450,  28.9500,     653.
  3020, 114.0800,  28.7700,     652.
  3021, 114.1160,  28.5820,     714.
  3022, 114.1310,  28.4010,     858.
  3023, 114.1400,  28.2340,     933.
  3024, 114.1740,  28.0850,     928.
  3025, 114.2130,  27.9600,     913.
  3026, 114.2630,  27.8600,     883.
  3027, 114.3150,  27.7580,     871.
  3028, 114.3530,  27.6510,     809.
  3029, 114.3880,  27.5590,     579.
  3030, 114.4360,  27.4730,     300.
  3031, 114.4830,  27.3980,     124.
  3032, 114.5170,  27.3330,      41.
  3033, 114.5380,  27.2840,       8.
  3034, 114.5500,  27.2430,       1.
  3035, 114.5610,  27.1980,       0.
  3036, 114.5760,  27.1490,       0.
  3037, 114.5880,  27.1020,       0.
  3038, 114.5930,  27.0650,       0.
  3039, 114.5910,  27.0380,       0.
  4000, 113.9460,  30.9000,      10.
  4013, 113.9500,  30.7070,       8.
  4014, 113.9840,  30.5460,       8.
  4015, 114.0520,  30.4170,       8.
  4016, 114.1440,  30.3070,       8.
  4017, 114.2390,  30.2050,      10.
  4018, 114.3330,  30.1110,      20.
  4019, 114.4330,  30.0010,      51.
  4020, 114.5360,  29.8650,     130.
  4021, 114.6180,  29.7090,     266.
  4022, 114.6660,  29.5300,     448.
  4023, 114.6760,  29.3350,     612.
  4024, 114.6770,  29.1450,     622.
  4025, 114.7090,  28.9430,     743.
  4026, 114.7430,  28.7460,    1000.
  4027, 114.7500,  28.5900,    1132.
  4028, 114.7770,  28.4700,     998.
  4029, 114.8160,  28.3650,     765.
  4030, 114.8700,  28.2730,     593.
  4031, 114.9290,  28.1910,     556.
  4032, 114.9710,  28.1150,     628.
  4033, 114.9820,  28.0490,     789.
  4034, 114.9630,  27.9840,     957.
  4035, 114.9350,  27.9080,    1038.
  4036, 114.9110,  27.8160,    1030.
  4037, 114.8930,  27.7070,    1018.
  4038, 114.8870,  27.5900,    1010.
  4039, 114.9050,  27.4720,     982.
  5000, 113.9460,  30.9000,      10.
  5017, 114.0500,  30.7810,       6.
  5018, 114.1530,  30.6810,       2.
  5019, 114.2500,  30.5930,       0.
  5020, 114.3330,  30.5040,       0.
  5021, 114.4070,  30.4150,       0.
  5022, 114.4730,  30.3290,       0.
  5023, 114.5220,  30.2430,       2.
  5024, 114.5620,  30.1560,      15.
  5025, 114.6260,  30.0580,      50.
  5026, 114.7150,  29.9460,     122.
  5027, 114.8330,  29.8180,     196.
  5028, 114.9660,  29.6670,     172.
  5029, 115.0800,  29.5500,     146.
  5030, 115.2100,  29.4300,     147.
  5031, 115.3170,  29.2970,     185.
  5032, 115.3720,  29.1680,     202.
  5033, 115.3980,  29.0170,     138.
  5034, 115.4060,  28.8820,      32.
  5035, 115.4070,  28.7850,       0.
  5036, 115.4070,  28.7160,       0.
  5037, 115.4090,  28.6660,       0.
  5038, 115.4160,  28.6270,       0.
  5039, 115.4300,  28.5970,       0.
  6000, 113.9460,  30.9000,      10.
  6021, 114.0410,  30.7970,       7.
  6022, 114.1250,  30.6890,       5.
  6023, 114.1990,  30.5860,       5.
  6024, 114.2600,  30.4960,       9.
  6025, 114.3160,  30.4070,      13.
  6026, 114.3790,  30.3160,      12.
  6027, 114.4680,  30.2270,      11.
  6028, 114.5720,  30.1400,      25.
  6029, 114.6570,  30.0560,      55.
  6030, 114.7530,  29.9620,      90.
  6031, 114.8430,  29.8640,     114.
  6032, 114.9020,  29.7760,     115.
  6033, 114.9400,  29.7010,     116.
  6034, 114.9610,  29.6290,     136.
  6035, 114.9710,  29.5510,     173.
  6036, 114.9810,  29.4670,     198.
  6037, 114.9910,  29.3980,     210.
  6038, 115.0000,  29.3440,     227.
  6039, 115.0160,  29.2990,     251.
  7000, 113.9460,  30.9000,      10.
  7025, 114.0090,  30.7900,       7.
  7026, 114.0320,  30.6750,       7.
  7027, 114.0210,  30.5650,       6.
  7028, 113.9910,  30.4540,       6.
  7029, 113.9550,  30.3320,       6.
  7030, 113.9110,  30.2020,       7.
  7031, 113.8540,  30.0750,      11.
  7032, 113.7840,  29.9460,      18.
  7033, 113.7100,  29.8000,      32.
  7034, 113.6370,  29.6330,      69.
  7035, 113.5690,  29.4420,     138.
  7036, 113.5160,  29.2410,     172.
  7037, 113.5040,  29.0510,     207.
  7038, 113.5400,  28.8800,     275.
  7039, 113.6070,  28.7520,     310.
  8000, 113.9460,  30.9000,      10.
  8029, 113.9010,  30.7500,       9.
  8030, 113.8520,  30.5920,      10.
  8031, 113.7980,  30.4290,      11.
  8032, 113.7350,  30.2670,      11.
  8033, 113.6680,  30.1040,      11.
  8034, 113.6000,  29.9380,      14.
  8035, 113.5260,  29.7600,      30.
  8036, 113.4500,  29.5490,      79.
  8037, 113.4120,  29.3250,     144.
  8038, 113.4240,  29.1400,     186.
  8039, 113.4800,  28.9640,     266.
  9000, 113.9460,  30.9000,      10.
  9033, 113.9000,  30.7120,      10.
  9034, 113.8610,  30.5310,      10.
  9035, 113.8260,  30.3640,      10.
  9036, 113.7940,  30.2070,      10.
  9037, 113.7740,  30.0690,      11.
  9038, 113.7770,  29.9580,      15.
  9039, 113.8090,  29.8640,      34.
 10000, 113.9460,  30.9000,      10.
 10037, 113.9420,  30.7480,       8.
 10038, 113.9650,  30.6190,       8.
 10039, 114.0210,  30.5160,       9.
 11000, 113.9460,  30.9000,      10.
 11000,   0.0000,   0.0000,       0.
 12000, 113.9460,  30.9000,      10.
 12000,   0.0000,   0.0000,       0.
 13000, 113.9460,  30.9000,      10.
 13000,   0.0000,   0.0000,       0.
 14000, 113.9460,  30.9000,      10.
 14000,   0.0000,   0.0000,       0.
 15000, 113.9460,  30.9000,      10.
 15000,   0.0000,   0.0000,       0.
 16000, 113.9460,  30.9000,      10.
 16000,   0.0000,   0.0000,       0.
 17000, 113.9460,  30.9000,      10.
 17000,   0.0000,   0.0000,       0.
 18000, 113.9460,  30.9000,      10.
 18000,   0.0000,   0.0000,       0.
 19000, 113.9460,  30.9000,      10.
 19000,   0.0000,   0.0000,       0.
 20000, 113.9460,  30.9000,      10.
 20000,   0.0000,   0.0000,       0.
END
