station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-04-28,10,95.9,,160
东城区,2026-04-28,11,92.6,,160
东城区,2026-04-28,12,99.8,,160
东城区,2026-04-28,13,88.3,,160
东城区,2026-04-28,14,85.4,,160
东城区,2026-04-28,15,75.7,,160
东城区,2026-04-28,16,85.7,,160
东城区,2026-04-28,17,76.9,,160
东城区,2026-04-28,18,78.8,,160
东城区,2026-04-28,19,80.1,,160
东城区,2026-04-28,20,73.0,,160
东城区,2026-04-28,21,77.5,,160
东城区,2026-04-28,22,77.1,,160
东城区,2026-04-28,23,73.4,,160
东城区,2026-04-29,0,67.4,,160
东城区,2026-04-29,1,63.4,,160
东城区,2026-04-29,2,64.6,,160
东城区,2026-04-29,3,60.4,,160
东城区,2026-04-29,4,62.2,,160
东城区,2026-04-29,5,57.3,,160
东城区,2026-04-29,6,57.7,,160
东城区,2026-04-29,7,57.5,,160
东城区,2026-04-29,8,59.6,,160
东城区,2026-04-29,9,58.7,,160
