station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-10,0,17.3,,50
东城区,2026-05-10,1,22.0,,50
东城区,2026-05-10,2,22.8,,50
东城区,2026-05-10,3,20.3,,50
东城区,2026-05-10,4,23.4,,50
东城区,2026-05-10,5,25.1,,50
东城区,2026-05-10,6,24.1,,50
东城区,2026-05-10,7,24.4,,50
东城区,2026-05-10,8,23.4,,50
东城区,2026-05-10,9,27.5,,50
东城区,2026-05-10,10,28.1,,50
东城区,2026-05-10,11,21.1,,50
东城区,2026-05-10,12,24.9,,50
东城区,2026-05-10,13,26.8,,50
东城区,2026-05-10,14,24.7,,50
东城区,2026-05-10,15,24.2,,50
东城区,2026-05-10,16,30.4,,50
东城区,2026-05-10,17,29.8,,50
东城区,2026-05-10,18,29.1,,50
东城区,2026-05-10,19,36.3,,50
东城区,2026-05-10,20,41.4,,50
东城区,2026-05-10,21,38.9,,50
东城区,2026-05-10,22,40.2,,50
东城区,2026-05-10,23,42.4,,50
