station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-11,0,36.2,,50
东城区,2026-05-11,1,41.7,,50
东城区,2026-05-11,2,36.3,,50
东城区,2026-05-11,3,33.3,,50
东城区,2026-05-11,4,30.6,,50
东城区,2026-05-11,5,28.0,,50
东城区,2026-05-11,6,27.5,,50
东城区,2026-05-11,7,27.9,,50
东城区,2026-05-11,8,27.1,,50
东城区,2026-05-11,9,26.6,,50
东城区,2026-05-11,10,26.5,,50
东城区,2026-05-11,11,27.2,,50
东城区,2026-05-11,12,26.1,,50
东城区,2026-05-11,13,27.5,,50
东城区,2026-05-11,14,26.8,,50
东城区,2026-05-11,15,24.4,,50
东城区,2026-05-11,16,31.3,,50
东城区,2026-05-11,17,27.2,,50
东城区,2026-05-11,18,35.2,,50
东城区,2026-05-11,19,37.7,,50
东城区,2026-05-11,20,36.7,,50
东城区,2026-05-11,21,41.8,,50
东城区,2026-05-11,22,43.5,,50
东城区,2026-05-11,23,43.4,,50
