station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-09,0,23.3,,50
东城区,2026-05-09,1,28.2,,50
东城区,2026-05-09,2,22.0,,50
东城区,2026-05-09,3,17.5,,50
东城区,2026-05-09,4,21.9,,50
东城区,2026-05-09,5,19.6,,50
东城区,2026-05-09,6,19.3,,50
东城区,2026-05-09,7,20.9,,50
东城区,2026-05-09,8,21.3,,50
东城区,2026-05-09,9,21.8,,50
东城区,2026-05-09,10,18.9,,50
东城区,2026-05-09,11,21.4,,50
东城区,2026-05-09,12,12.3,,50
东城区,2026-05-09,13,21.0,,50
东城区,2026-05-09,14,23.8,,50
东城区,2026-05-09,15,24.4,,50
东城区,2026-05-09,16,21.1,,50
东城区,2026-05-09,17,20.8,,50
东城区,2026-05-09,18,23.4,,50
东城区,2026-05-09,19,29.7,,50
东城区,2026-05-09,20,23.8,,50
东城区,2026-05-09,21,26.2,,50
东城区,2026-05-09,22,33.3,,50
东城区,2026-05-09,23,27.3,,50
