station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-16,7,17.9,,50.0
东城区,2026-05-16,8,19.7,,50.0
东城区,2026-05-16,9,18.3,,50.0
东城区,2026-05-16,10,18.7,,50.0
东城区,2026-05-16,11,14.9,,50.0
东城区,2026-05-16,12,16.3,,50.0
东城区,2026-05-16,13,13.4,,50.0
东城区,2026-05-16,14,15.8,,50.0
东城区,2026-05-16,15,16.1,,50.0
东城区,2026-05-16,16,16.3,,50.0
东城区,2026-05-16,17,18.8,,50.0
东城区,2026-05-16,18,24.4,,50.0
东城区,2026-05-16,19,27.7,,50.0
东城区,2026-05-16,20,29.5,,50.0
东城区,2026-05-16,21,28.1,,50.0
东城区,2026-05-16,22,33.3,,50.0
东城区,2026-05-16,23,39.3,,50.0
东城区,2026-05-17,0,31.4,,50.0
东城区,2026-05-17,1,33.9,,50.0
东城区,2026-05-17,2,42.2,,50.0
东城区,2026-05-17,3,38.4,,50.0
东城区,2026-05-17,4,40.7,,50.0
东城区,2026-05-17,5,32.6,,50.0
东城区,2026-05-17,6,32.4,,50.0
