station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-04-28,11,13.5,,50
东城区,2026-04-28,12,12.8,,50
东城区,2026-04-28,13,16.1,,50
东城区,2026-04-28,14,17.5,,50
东城区,2026-04-28,15,14.9,,50
东城区,2026-04-28,16,20.3,,50
东城区,2026-04-28,17,23.8,,50
东城区,2026-04-28,18,22.8,,50
东城区,2026-04-28,19,20.4,,50
东城区,2026-04-28,20,22.5,,50
东城区,2026-04-28,21,24.1,,50
东城区,2026-04-28,22,24.4,,50
东城区,2026-04-28,23,26.0,,50
东城区,2026-04-29,0,26.0,,50
东城区,2026-04-29,1,26.0,,50
东城区,2026-04-29,2,28.6,,50
东城区,2026-04-29,3,29.4,,50
东城区,2026-04-29,4,29.5,,50
东城区,2026-04-29,5,28.3,,50
东城区,2026-04-29,6,30.5,,50
东城区,2026-04-29,7,31.2,,50
东城区,2026-04-29,8,30.3,,50
东城区,2026-04-29,9,30.8,,50
东城区,2026-04-29,10,32.9,,50
