station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold,exceed_probability (%)
东城区,2026-05-14,7,19.3,,50.0,4.07
东城区,2026-05-14,8,18.8,,50.0,4.06
东城区,2026-05-14,9,15.2,,50.0,4.03
东城区,2026-05-14,10,23.6,,50.0,4.26
东城区,2026-05-14,11,21.8,,50.0,4.16
东城区,2026-05-14,12,29.0,,50.0,5.0
东城区,2026-05-14,13,26.1,,50.0,4.88
东城区,2026-05-14,14,26.8,,50.0,4.51
东城区,2026-05-14,15,23.1,,50.0,4.53
东城区,2026-05-14,16,21.1,,50.0,4.22
东城区,2026-05-14,17,24.2,,50.0,4.54
东城区,2026-05-14,18,32.9,,50.0,4.61
东城区,2026-05-14,19,37.6,,50.0,4.58
东城区,2026-05-14,20,41.2,,50.0,9.98
东城区,2026-05-14,21,29.5,,50.0,4.75
东城区,2026-05-14,22,24.1,,50.0,4.49
东城区,2026-05-14,23,27.8,,50.0,4.43
东城区,2026-05-15,0,24.2,,50.0,4.51
东城区,2026-05-15,1,23.3,,50.0,4.17
东城区,2026-05-15,2,30.8,,50.0,10.32
东城区,2026-05-15,3,25.9,,50.0,9.3
东城区,2026-05-15,4,22.5,,50.0,5.75
东城区,2026-05-15,5,21.3,,50.0,4.49
东城区,2026-05-15,6,24.4,,50.0,6.62
