station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-14,7,19.3,,50.0
东城区,2026-05-14,8,18.8,,50.0
东城区,2026-05-14,9,15.2,,50.0
东城区,2026-05-14,10,23.6,,50.0
东城区,2026-05-14,11,21.8,,50.0
东城区,2026-05-14,12,29.0,,50.0
东城区,2026-05-14,13,26.1,,50.0
东城区,2026-05-14,14,26.8,,50.0
东城区,2026-05-14,15,23.1,,50.0
东城区,2026-05-14,16,21.1,,50.0
东城区,2026-05-14,17,24.2,,50.0
东城区,2026-05-14,18,32.9,,50.0
东城区,2026-05-14,19,37.6,,50.0
东城区,2026-05-14,20,41.2,,50.0
东城区,2026-05-14,21,29.5,,50.0
东城区,2026-05-14,22,24.1,,50.0
东城区,2026-05-14,23,27.8,,50.0
东城区,2026-05-15,0,24.2,,50.0
东城区,2026-05-15,1,23.3,,50.0
东城区,2026-05-15,2,30.8,,50.0
东城区,2026-05-15,3,25.9,,50.0
东城区,2026-05-15,4,22.5,,50.0
东城区,2026-05-15,5,21.3,,50.0
东城区,2026-05-15,6,24.4,,50.0
