station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-04,0,16.5,,50
东城区,2026-05-04,1,16.4,,50
东城区,2026-05-04,2,15.9,,50
东城区,2026-05-04,3,15.9,,50
东城区,2026-05-04,4,14.9,,50
东城区,2026-05-04,5,17.1,,50
东城区,2026-05-04,6,21.4,,50
东城区,2026-05-04,7,20.6,,50
东城区,2026-05-04,8,24.0,,50
东城区,2026-05-04,9,24.4,,50
东城区,2026-05-04,10,21.6,,50
东城区,2026-05-04,11,22.4,,50
东城区,2026-05-04,12,27.7,,50
东城区,2026-05-04,13,22.6,,50
东城区,2026-05-04,14,27.4,,50
东城区,2026-05-04,15,27.0,,50
东城区,2026-05-04,16,23.5,,50
东城区,2026-05-04,17,20.8,,50
东城区,2026-05-04,18,25.1,,50
东城区,2026-05-04,19,25.9,,50
东城区,2026-05-04,20,29.3,,50
东城区,2026-05-04,21,31.4,,50
东城区,2026-05-04,22,28.7,,50
东城区,2026-05-04,23,29.1,,50
