station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
东城区,2026-05-11,0,102.0,,160,121.0,0.0
东城区,2026-05-11,1,99.5,,160,114.81,0.0
东城区,2026-05-11,2,95.5,,160,109.25,0.0
东城区,2026-05-11,3,95.0,,160,105.62,0.0
东城区,2026-05-11,4,88.3,,160,102.16,0.0
东城区,2026-05-11,5,89.9,,160,99.02,0.0
东城区,2026-05-11,6,87.1,,160,96.04,0.0
东城区,2026-05-11,7,84.5,,160,92.72,0.0
东城区,2026-05-11,8,88.3,,160,91.01,0.0
东城区,2026-05-11,9,88.9,,160,89.69,0.0
东城区,2026-05-11,10,101.0,,160,90.38,0.0
东城区,2026-05-11,11,133.9,,160,95.24,0.0
东城区,2026-05-11,12,151.8,,160,103.18,0.0
东城区,2026-05-11,13,162.0,,160,112.19,0.0
东城区,2026-05-11,14,160.4,,160,121.35,0.05
东城区,2026-05-11,15,160.4,,160,130.84,3.34
东城区,2026-05-11,16,156.8,,160,139.4,40.82
东城区,2026-05-11,17,164.2,,160,148.81,94.45
东城区,2026-05-11,18,154.7,,160,155.52,99.7
东城区,2026-05-11,19,149.2,,160,157.44,99.86
东城区,2026-05-11,20,137.0,,160,155.59,99.81
东城区,2026-05-11,21,121.0,,160,150.46,98.97
东城区,2026-05-11,22,119.3,,160,145.32,96.42
东城区,2026-05-11,23,112.2,,160,139.3,79.95
