station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-17,7,18.0,,50.0
东城区,2026-05-17,8,19.6,,50.0
东城区,2026-05-17,9,17.1,,50.0
东城区,2026-05-17,10,17.9,,50.0
东城区,2026-05-17,11,11.7,,50.0
东城区,2026-05-17,12,15.9,,50.0
东城区,2026-05-17,13,14.3,,50.0
东城区,2026-05-17,14,13.6,,50.0
东城区,2026-05-17,15,7.9,,50.0
东城区,2026-05-17,16,6.5,,50.0
东城区,2026-05-17,17,8.9,,50.0
东城区,2026-05-17,18,9.0,,50.0
东城区,2026-05-17,19,3.1,,50.0
东城区,2026-05-17,20,8.0,,50.0
东城区,2026-05-17,21,14.4,,50.0
东城区,2026-05-17,22,20.0,,50.0
东城区,2026-05-17,23,14.0,,50.0
东城区,2026-05-18,0,15.3,,50.0
东城区,2026-05-18,1,13.9,,50.0
东城区,2026-05-18,2,9.6,,50.0
东城区,2026-05-18,3,11.8,,50.0
东城区,2026-05-18,4,12.7,,50.0
东城区,2026-05-18,5,16.7,,50.0
东城区,2026-05-18,6,23.3,,50.0
