station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-18,7,62.5,,160
东城区,2026-05-18,8,61.8,,160
东城区,2026-05-18,9,65.1,,160
东城区,2026-05-18,10,71.2,,160
东城区,2026-05-18,11,67.3,,160
东城区,2026-05-18,12,63.2,,160
东城区,2026-05-18,13,63.9,,160
东城区,2026-05-18,14,66.1,,160
东城区,2026-05-18,15,68.0,,160
东城区,2026-05-18,16,72.7,,160
东城区,2026-05-18,17,62.9,,160
东城区,2026-05-18,18,62.6,,160
东城区,2026-05-18,19,63.7,,160
东城区,2026-05-18,20,61.9,,160
东城区,2026-05-18,21,61.0,,160
东城区,2026-05-18,22,62.4,,160
东城区,2026-05-18,23,62.5,,160
东城区,2026-05-19,0,60.4,,160
东城区,2026-05-19,1,61.7,,160
东城区,2026-05-19,2,54.0,,160
东城区,2026-05-19,3,65.0,,160
东城区,2026-05-19,4,64.0,,160
东城区,2026-05-19,5,62.8,,160
东城区,2026-05-19,6,66.3,,160
