station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-04,0,76.4,,160
东城区,2026-05-04,1,75.1,,160
东城区,2026-05-04,2,80.1,,160
东城区,2026-05-04,3,76.2,,160
东城区,2026-05-04,4,74.7,,160
东城区,2026-05-04,5,69.1,,160
东城区,2026-05-04,6,65.1,,160
东城区,2026-05-04,7,63.1,,160
东城区,2026-05-04,8,65.1,,160
东城区,2026-05-04,9,78.4,,160
东城区,2026-05-04,10,95.4,,160
东城区,2026-05-04,11,99.7,,160
东城区,2026-05-04,12,118.9,,160
东城区,2026-05-04,13,133.9,,160
东城区,2026-05-04,14,131.4,,160
东城区,2026-05-04,15,134.3,,160
东城区,2026-05-04,16,140.2,,160
东城区,2026-05-04,17,140.5,,160
东城区,2026-05-04,18,138.8,,160
东城区,2026-05-04,19,137.1,,160
东城区,2026-05-04,20,128.5,,160
东城区,2026-05-04,21,110.8,,160
东城区,2026-05-04,22,109.7,,160
东城区,2026-05-04,23,106.7,,160
