station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-13,0,99.5,,160
东城区,2026-05-13,1,95.6,,160
东城区,2026-05-13,2,95.0,,160
东城区,2026-05-13,3,87.8,,160
东城区,2026-05-13,4,85.3,,160
东城区,2026-05-13,5,84.0,,160
东城区,2026-05-13,6,74.6,,160
东城区,2026-05-13,7,69.4,,160
东城区,2026-05-13,8,70.0,,160
东城区,2026-05-13,9,80.3,,160
东城区,2026-05-13,10,88.8,,160
东城区,2026-05-13,11,93.4,,160
东城区,2026-05-13,12,93.5,,160
东城区,2026-05-13,13,112.6,,160
东城区,2026-05-13,14,123.0,,160
东城区,2026-05-13,15,126.1,,160
东城区,2026-05-13,16,138.3,,160
东城区,2026-05-13,17,128.2,,160
东城区,2026-05-13,18,107.8,,160
东城区,2026-05-13,19,98.8,,160
东城区,2026-05-13,20,95.7,,160
东城区,2026-05-13,21,93.8,,160
东城区,2026-05-13,22,86.4,,160
东城区,2026-05-13,23,84.7,,160
