station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
东城区,2026-05-13,0,99.5,,160,118.81,0.0
东城区,2026-05-13,1,95.6,,160,112.51,0.0
东城区,2026-05-13,2,95.0,,160,107.64,0.0
东城区,2026-05-13,3,87.8,,160,103.11,0.0
东城区,2026-05-13,4,85.3,,160,98.65,0.0
东城区,2026-05-13,5,84.0,,160,94.52,0.0
东城区,2026-05-13,6,74.6,,160,90.72,0.0
东城区,2026-05-13,7,69.4,,160,86.4,0.0
东城区,2026-05-13,8,70.0,,160,82.71,0.0
东城区,2026-05-13,9,80.3,,160,80.8,0.0
东城区,2026-05-13,10,88.8,,160,80.03,0.0
东城区,2026-05-13,11,93.4,,160,80.72,0.0
东城区,2026-05-13,12,93.5,,160,81.75,0.0
东城区,2026-05-13,13,112.6,,160,85.32,0.0
东城区,2026-05-13,14,123.0,,160,91.38,0.0
东城区,2026-05-13,15,126.1,,160,98.46,0.0
东城区,2026-05-13,16,138.3,,160,107.0,0.0
东城区,2026-05-13,17,128.2,,160,112.99,0.0
东城区,2026-05-13,18,107.8,,160,115.36,0.01
东城区,2026-05-13,19,98.8,,160,116.04,0.01
东城区,2026-05-13,20,95.7,,160,116.31,0.02
东城区,2026-05-13,21,93.8,,160,113.96,0.02
东城区,2026-05-13,22,86.4,,160,109.39,0.01
东城区,2026-05-13,23,84.7,,160,104.21,0.0
