station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-06,0,20.7,,50
东城区,2026-05-06,1,23.6,,50
东城区,2026-05-06,2,19.4,,50
东城区,2026-05-06,3,19.1,,50
东城区,2026-05-06,4,22.3,,50
东城区,2026-05-06,5,17.8,,50
东城区,2026-05-06,6,24.9,,50
东城区,2026-05-06,7,24.9,,50
东城区,2026-05-06,8,25.3,,50
东城区,2026-05-06,9,24.4,,50
东城区,2026-05-06,10,21.5,,50
东城区,2026-05-06,11,25.8,,50
东城区,2026-05-06,12,22.7,,50
东城区,2026-05-06,13,19.3,,50
东城区,2026-05-06,14,21.6,,50
东城区,2026-05-06,15,20.3,,50
东城区,2026-05-06,16,19.3,,50
东城区,2026-05-06,17,16.0,,50
东城区,2026-05-06,18,18.0,,50
东城区,2026-05-06,19,18.8,,50
东城区,2026-05-06,20,22.4,,50
东城区,2026-05-06,21,28.4,,50
东城区,2026-05-06,22,28.9,,50
东城区,2026-05-06,23,28.4,,50
