station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-17,7,32.5,,160
东城区,2026-05-17,8,35.8,,160
东城区,2026-05-17,9,62.2,,160
东城区,2026-05-17,10,57.4,,160
东城区,2026-05-17,11,71.3,,160
东城区,2026-05-17,12,80.5,,160
东城区,2026-05-17,13,54.5,,160
东城区,2026-05-17,14,88.7,,160
东城区,2026-05-17,15,96.8,,160
东城区,2026-05-17,16,95.4,,160
东城区,2026-05-17,17,73.7,,160
东城区,2026-05-17,18,83.2,,160
东城区,2026-05-17,19,91.5,,160
东城区,2026-05-17,20,94.4,,160
东城区,2026-05-17,21,91.3,,160
东城区,2026-05-17,22,83.1,,160
东城区,2026-05-17,23,82.2,,160
东城区,2026-05-18,0,85.5,,160
东城区,2026-05-18,1,75.3,,160
东城区,2026-05-18,2,69.3,,160
东城区,2026-05-18,3,67.3,,160
东城区,2026-05-18,4,73.5,,160
东城区,2026-05-18,5,64.5,,160
东城区,2026-05-18,6,66.1,,160
