pollutant,site_name,station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
o3,晋江一中,东城区,2026-05-17,7,32.5,,160,53.94,0.0
o3,晋江一中,东城区,2026-05-17,8,35.8,,160,47.29,0.0
o3,晋江一中,东城区,2026-05-17,9,62.2,,160,44.31,0.0
o3,晋江一中,东城区,2026-05-17,10,57.4,,160,51.49,0.0
o3,晋江一中,东城区,2026-05-17,11,71.3,,160,51.02,0.0
o3,晋江一中,东城区,2026-05-17,12,80.5,,160,52.59,0.0
o3,晋江一中,东城区,2026-05-17,13,54.5,,160,54.15,0.0
o3,晋江一中,东城区,2026-05-17,14,88.7,,160,60.36,0.0
o3,晋江一中,东城区,2026-05-17,15,96.8,,160,68.4,0.0
o3,晋江一中,东城区,2026-05-17,16,95.4,,160,75.85,0.0
o3,晋江一中,东城区,2026-05-17,17,73.7,,160,77.29,0.0
o3,晋江一中,东城区,2026-05-17,18,83.2,,160,80.51,0.0
o3,晋江一中,东城区,2026-05-17,19,91.5,,160,83.04,0.0
o3,晋江一中,东城区,2026-05-17,20,94.4,,160,84.78,0.0
o3,晋江一中,东城区,2026-05-17,21,91.3,,160,89.38,0.0
o3,晋江一中,东城区,2026-05-17,22,83.1,,160,88.68,0.0
o3,晋江一中,东城区,2026-05-17,23,82.2,,160,86.85,0.0
o3,晋江一中,东城区,2026-05-18,0,85.5,,160,85.61,0.0
o3,晋江一中,东城区,2026-05-18,1,75.3,,160,85.81,0.0
o3,晋江一中,东城区,2026-05-18,2,69.3,,160,84.07,0.0
o3,晋江一中,东城区,2026-05-18,3,67.3,,160,81.05,0.0
o3,晋江一中,东城区,2026-05-18,4,73.5,,160,78.44,0.0
o3,晋江一中,东城区,2026-05-18,5,64.5,,160,75.09,0.0
o3,晋江一中,东城区,2026-05-18,6,66.1,,160,72.96,0.0
