  1000, 113.9420,  30.9070,      10.
  1001, 113.9090,  31.0140,      11.
  1002, 113.8790,  31.1270,      14.
  1003, 113.8600,  31.2540,      25.
  1004, 113.8430,  31.4070,      48.
  1005, 113.8320,  31.5740,      83.
  1006, 113.8640,  31.7420,     168.
  1007, 113.9620,  31.9590,     283.
  1008, 114.0380,  32.1780,     283.
  1009, 114.0900,  32.3700,     272.
  1010, 114.1720,  32.5670,     253.
  1011, 114.2720,  32.7750,     254.
  1012, 114.3740,  33.0080,     251.
  1013, 114.4980,  33.2670,     270.
  1014, 114.6410,  33.5610,     321.
  1015, 114.7850,  33.9110,     368.
  1016, 114.9370,  34.3250,     413.
  1017, 115.0750,  34.7520,     499.
  1018, 115.2390,  35.1530,     553.
  1019, 115.4160,  35.5370,     555.
  1020, 115.5890,  35.9200,     530.
  1021, 115.7210,  36.3090,     478.
  1022, 115.8290,  36.7260,     467.
  1023, 115.9510,  37.1040,     499.
  1024, 116.0850,  37.4530,     384.
  1025, 116.1600,  37.8230,     278.
  1026, 116.2640,  38.2120,     276.
  1027, 116.4950,  38.6060,     257.
  1028, 116.8120,  38.9790,     244.
  1029, 117.1770,  39.3250,     256.
  1030, 117.5410,  39.6870,     306.
  1031, 117.8350,  40.0360,     496.
  1032, 118.0570,  40.3080,    1030.
  1033, 118.1950,  40.5470,    1321.
  1034, 118.2090,  40.8050,    1670.
  1035, 118.1860,  41.0290,    2021.
  1036, 118.0830,  41.1920,    2484.
  1037, 117.8570,  41.3400,    3193.
  1038, 117.5350,  41.4370,    3330.
  1039, 117.1860,  41.4160,    3480.
  1040, 116.8140,  41.3100,    3547.
  1041, 116.4520,  41.1520,    3160.
  1042, 116.1020,  40.9710,    2889.
  1043, 115.7530,  40.7420,    2729.
  1044, 115.4140,  40.5150,    2748.
  1045, 115.0720,  40.3270,    2881.
  1046, 114.7330,  40.1430,    2939.
  1047, 114.4280,  39.9760,    2902.
  1048, 114.1270,  39.8110,    2914.
  2000, 113.9420,  30.9070,      10.
  2005, 113.9140,  31.0300,      16.
  2006, 113.9070,  31.1570,      31.
  2007, 113.9230,  31.2900,      56.
  2008, 113.9700,  31.4170,      93.
  2009, 114.0490,  31.5310,     142.
  2010, 114.1330,  31.6640,     202.
  2011, 114.1960,  31.8340,     284.
  2012, 114.2150,  32.0320,     312.
  2013, 114.2200,  32.2470,     294.
  2014, 114.2360,  32.5120,     301.
  2015, 114.2420,  32.8280,     311.
  2016, 114.2430,  33.1780,     342.
  2017, 114.3080,  33.6080,     422.
  2018, 114.4230,  34.0900,     485.
  2019, 114.6130,  34.5810,     522.
  2020, 114.7940,  35.0740,     540.
  2021, 114.9420,  35.5590,     524.
  2022, 115.0770,  36.0600,     524.
  2023, 115.2400,  36.5270,     570.
  2024, 115.4220,  36.9710,     543.
  2025, 115.5870,  37.4240,     510.
  2026, 115.8250,  37.8740,     552.
  2027, 116.1850,  38.2910,     546.
  2028, 116.6420,  38.7090,     488.
  2029, 117.1160,  39.0540,     551.
  2030, 117.5690,  39.3310,     501.
  2031, 117.9680,  39.5390,     342.
  2032, 118.3010,  39.7320,     288.
  2033, 118.5400,  39.9250,     312.
  2034, 118.6580,  40.0740,     387.
  2035, 118.6930,  40.1390,     536.
  2036, 118.6960,  40.1070,     682.
  2037, 118.7210,  40.0060,     824.
  2038, 118.7370,  39.8640,     940.
  2039, 118.7360,  39.7200,     959.
  2040, 118.7530,  39.5850,     984.
  2041, 118.7590,  39.4430,    1022.
  2042, 118.7110,  39.2840,    1066.
  2043, 118.6320,  39.1240,    1092.
  2044, 118.5250,  38.9810,    1079.
  2045, 118.3760,  38.8390,    1049.
  2046, 118.2290,  38.6900,     936.
  2047, 118.0880,  38.5300,     865.
  2048, 117.9520,  38.3170,     918.
  2049, 117.8230,  38.0550,     960.
  2050, 117.6970,  37.7840,     958.
  2051, 117.5420,  37.5250,     960.
  2052, 117.3770,  37.2750,     934.
  3000, 113.9420,  30.9070,      10.
  3009, 113.9760,  31.0070,      15.
  3010, 114.0290,  31.1050,      29.
  3011, 114.0990,  31.2160,      59.
  3012, 114.1680,  31.3400,     102.
  3013, 114.2340,  31.4840,     150.
  3014, 114.2810,  31.6470,     203.
  3015, 114.2770,  31.8190,     273.
  3016, 114.2130,  32.0310,     270.
  3017, 114.1240,  32.2740,     231.
  3018, 114.0240,  32.5510,     255.
  3019, 113.9360,  32.9040,     316.
  3020, 113.8890,  33.2930,     297.
  3021, 113.9190,  33.7170,     282.
  3022, 114.0290,  34.1900,     308.
  3023, 114.1930,  34.6840,     320.
  3024, 114.3680,  35.2200,     344.
  3025, 114.4640,  35.7930,     438.
  3026, 114.5360,  36.3310,     462.
  3027, 114.6370,  36.9060,     455.
  3028, 114.7600,  37.4500,     445.
  3029, 114.9810,  37.9380,     543.
  3030, 115.3370,  38.4340,     524.
  3031, 115.7080,  38.9610,     729.
  3032, 115.9630,  39.4470,     773.
  3033, 116.1390,  39.8630,     916.
  3034, 116.1900,  40.2140,    1367.
  3035, 116.2150,  40.4650,    1814.
  3036, 116.2210,  40.6340,    2110.
  3037, 116.1840,  40.7310,    2065.
  3038, 116.0780,  40.7730,    1873.
  3039, 115.9270,  40.8110,    1792.
  3040, 115.7390,  40.8410,    1801.
  3041, 115.5020,  40.8420,    1788.
  3042, 115.2530,  40.8110,    1688.
  3043, 115.0250,  40.8040,    1599.
  3044, 114.8130,  40.8370,    1526.
  3045, 114.5900,  40.8820,    1513.
  3046, 114.3500,  40.9210,    1544.
  3047, 114.0680,  40.9780,    1542.
  3048, 113.7170,  41.0740,    1504.
  3049, 113.3180,  41.1900,    1480.
  3050, 112.8820,  41.2560,    1431.
  3051, 112.3730,  41.2480,    1562.
  3052, 111.8660,  41.2220,    1646.
  3053, 111.4020,  41.2350,    1578.
  3054, 110.9770,  41.3140,    1548.
  3055, 110.4610,  41.5010,    1516.
  3056, 109.8450,  41.7840,    1509.
  4000, 113.9420,  30.9070,      10.
  4013, 113.9470,  31.0530,      13.
  4014, 113.9780,  31.2130,      37.
  4015, 114.0580,  31.3720,      92.
  4016, 114.1380,  31.5130,     145.
  4017, 114.1920,  31.6460,     182.
  4018, 114.2120,  31.7690,     210.
  4019, 114.1880,  31.9120,     193.
  4020, 114.1230,  32.0750,     151.
  4021, 114.0200,  32.2020,     129.
  4022, 113.8750,  32.3050,      94.
  4023, 113.7510,  32.4470,     131.
  4024, 113.6680,  32.6290,     210.
  4025, 113.5700,  32.8800,     262.
