station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-07,0,93.3,,160
东城区,2026-05-07,1,87.3,,160
东城区,2026-05-07,2,77.2,,160
东城区,2026-05-07,3,80.9,,160
东城区,2026-05-07,4,75.6,,160
东城区,2026-05-07,5,80.8,,160
东城区,2026-05-07,6,76.4,,160
东城区,2026-05-07,7,76.7,,160
东城区,2026-05-07,8,72.1,,160
东城区,2026-05-07,9,73.9,,160
东城区,2026-05-07,10,75.2,,160
东城区,2026-05-07,11,76.0,,160
东城区,2026-05-07,12,84.3,,160
东城区,2026-05-07,13,82.7,,160
东城区,2026-05-07,14,79.8,,160
东城区,2026-05-07,15,81.0,,160
东城区,2026-05-07,16,89.6,,160
东城区,2026-05-07,17,82.9,,160
东城区,2026-05-07,18,85.2,,160
东城区,2026-05-07,19,84.6,,160
东城区,2026-05-07,20,87.9,,160
东城区,2026-05-07,21,81.2,,160
东城区,2026-05-07,22,76.0,,160
东城区,2026-05-07,23,75.5,,160
