station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-06,0,102.6,,160
东城区,2026-05-06,1,95.2,,160
东城区,2026-05-06,2,93.9,,160
东城区,2026-05-06,3,88.4,,160
东城区,2026-05-06,4,92.2,,160
东城区,2026-05-06,5,87.1,,160
东城区,2026-05-06,6,86.5,,160
东城区,2026-05-06,7,86.0,,160
东城区,2026-05-06,8,84.4,,160
东城区,2026-05-06,9,88.1,,160
东城区,2026-05-06,10,106.1,,160
东城区,2026-05-06,11,132.1,,160
东城区,2026-05-06,12,139.3,,160
东城区,2026-05-06,13,158.4,,160
东城区,2026-05-06,14,165.0,,160
东城区,2026-05-06,15,161.7,,160
东城区,2026-05-06,16,154.3,,160
东城区,2026-05-06,17,149.1,,160
东城区,2026-05-06,18,152.9,,160
东城区,2026-05-06,19,152.3,,160
东城区,2026-05-06,20,129.1,,160
东城区,2026-05-06,21,114.3,,160
东城区,2026-05-06,22,110.3,,160
东城区,2026-05-06,23,95.9,,160
