station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-02,0,18.8,,50
东城区,2026-05-02,1,20.8,,50
东城区,2026-05-02,2,19.4,,50
东城区,2026-05-02,3,18.7,,50
东城区,2026-05-02,4,19.2,,50
东城区,2026-05-02,5,19.9,,50
东城区,2026-05-02,6,22.0,,50
东城区,2026-05-02,7,26.2,,50
东城区,2026-05-02,8,32.6,,50
东城区,2026-05-02,9,24.6,,50
东城区,2026-05-02,10,23.8,,50
东城区,2026-05-02,11,23.7,,50
东城区,2026-05-02,12,23.5,,50
东城区,2026-05-02,13,25.2,,50
东城区,2026-05-02,14,22.0,,50
东城区,2026-05-02,15,24.3,,50
东城区,2026-05-02,16,24.4,,50
东城区,2026-05-02,17,20.8,,50
东城区,2026-05-02,18,21.7,,50
东城区,2026-05-02,19,22.5,,50
东城区,2026-05-02,20,26.2,,50
东城区,2026-05-02,21,33.5,,50
东城区,2026-05-02,22,27.9,,50
东城区,2026-05-02,23,28.7,,50
