pollutant,site_name,station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold,exceed_probability (%)
pm25,晋江一中,东城区,2026-05-15,7,19.8,,50.0,4.03
pm25,晋江一中,东城区,2026-05-15,8,23.9,,50.0,4.11
pm25,晋江一中,东城区,2026-05-15,9,21.1,,50.0,4.12
pm25,晋江一中,东城区,2026-05-15,10,23.8,,50.0,4.18
pm25,晋江一中,东城区,2026-05-15,11,18.5,,50.0,4.02
pm25,晋江一中,东城区,2026-05-15,12,18.6,,50.0,4.03
pm25,晋江一中,东城区,2026-05-15,13,17.5,,50.0,4.02
pm25,晋江一中,东城区,2026-05-15,14,17.9,,50.0,4.03
pm25,晋江一中,东城区,2026-05-15,15,16.4,,50.0,4.03
pm25,晋江一中,东城区,2026-05-15,16,15.9,,50.0,4.03
pm25,晋江一中,东城区,2026-05-15,17,19.5,,50.0,4.03
pm25,晋江一中,东城区,2026-05-15,18,19.8,,50.0,4.02
pm25,晋江一中,东城区,2026-05-15,19,19.5,,50.0,4.06
pm25,晋江一中,东城区,2026-05-15,20,26.1,,50.0,4.33
pm25,晋江一中,东城区,2026-05-15,21,26.9,,50.0,4.15
pm25,晋江一中,东城区,2026-05-15,22,23.9,,50.0,4.19
pm25,晋江一中,东城区,2026-05-15,23,23.9,,50.0,4.08
pm25,晋江一中,东城区,2026-05-16,0,27.3,,50.0,4.11
pm25,晋江一中,东城区,2026-05-16,1,30.2,,50.0,4.15
pm25,晋江一中,东城区,2026-05-16,2,31.5,,50.0,4.15
pm25,晋江一中,东城区,2026-05-16,3,28.4,,50.0,4.1
pm25,晋江一中,东城区,2026-05-16,4,27.8,,50.0,4.16
pm25,晋江一中,东城区,2026-05-16,5,33.3,,50.0,4.32
pm25,晋江一中,东城区,2026-05-16,6,27.1,,50.0,4.08
