station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
东城区,2026-05-14,7,43.8,,160,45.72,0.0
东城区,2026-05-14,8,37.4,,160,41.65,0.0
东城区,2026-05-14,9,60.9,,160,42.89,0.0
东城区,2026-05-14,10,69.6,,160,46.96,0.0
东城区,2026-05-14,11,73.0,,160,51.71,0.0
东城区,2026-05-14,12,96.7,,160,58.3,0.0
东城区,2026-05-14,13,91.4,,160,63.73,0.0
东城区,2026-05-14,14,89.3,,160,70.26,0.0
东城区,2026-05-14,15,102.6,,160,77.61,0.0
东城区,2026-05-14,16,97.3,,160,85.1,0.0
东城区,2026-05-14,17,76.9,,160,87.1,0.0
东城区,2026-05-14,18,68.8,,160,87.0,0.0
东城区,2026-05-14,19,75.3,,160,87.29,0.0
东城区,2026-05-14,20,81.5,,160,85.39,0.0
东城区,2026-05-14,21,82.1,,160,84.22,0.0
东城区,2026-05-14,22,84.0,,160,83.56,0.0
东城区,2026-05-14,23,86.6,,160,81.56,0.0
东城区,2026-05-15,0,96.7,,160,81.49,0.0
东城区,2026-05-15,1,88.1,,160,82.89,0.0
东城区,2026-05-15,2,73.3,,160,83.45,0.0
东城区,2026-05-15,3,67.4,,160,82.46,0.0
东城区,2026-05-15,4,52.7,,160,78.86,0.0
东城区,2026-05-15,5,59.1,,160,75.99,0.0
东城区,2026-05-15,6,70.2,,160,74.26,0.0
