station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-14,7,43.6,,160
东城区,2026-05-14,8,37.2,,160
东城区,2026-05-14,9,60.5,,160
东城区,2026-05-14,10,69.1,,160
东城区,2026-05-14,11,72.5,,160
东城区,2026-05-14,12,96.0,,160
东城区,2026-05-14,13,90.8,,160
东城区,2026-05-14,14,88.7,,160
东城区,2026-05-14,15,101.8,,160
东城区,2026-05-14,16,96.5,,160
东城区,2026-05-14,17,76.0,,160
东城区,2026-05-14,18,68.3,,160
东城区,2026-05-14,19,74.6,,160
东城区,2026-05-14,20,80.5,,160
东城区,2026-05-14,21,81.3,,160
东城区,2026-05-14,22,83.2,,160
东城区,2026-05-14,23,85.8,,160
东城区,2026-05-15,0,95.8,,160
东城区,2026-05-15,1,87.2,,160
东城区,2026-05-15,2,72.7,,160
东城区,2026-05-15,3,67.4,,160
东城区,2026-05-15,4,53.4,,160
东城区,2026-05-15,5,58.7,,160
东城区,2026-05-15,6,69.9,,160
