station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-05-07,0,32.3,,50
东城区,2026-05-07,1,35.3,,50
东城区,2026-05-07,2,27.8,,50
东城区,2026-05-07,3,31.3,,50
东城区,2026-05-07,4,24.3,,50
东城区,2026-05-07,5,22.1,,50
东城区,2026-05-07,6,23.7,,50
东城区,2026-05-07,7,27.0,,50
东城区,2026-05-07,8,25.7,,50
东城区,2026-05-07,9,25.6,,50
东城区,2026-05-07,10,24.7,,50
东城区,2026-05-07,11,26.4,,50
东城区,2026-05-07,12,25.2,,50
东城区,2026-05-07,13,26.1,,50
东城区,2026-05-07,14,21.5,,50
东城区,2026-05-07,15,22.5,,50
东城区,2026-05-07,16,18.6,,50
东城区,2026-05-07,17,24.2,,50
东城区,2026-05-07,18,20.5,,50
东城区,2026-05-07,19,29.6,,50
东城区,2026-05-07,20,26.3,,50
东城区,2026-05-07,21,21.5,,50
东城区,2026-05-07,22,25.2,,50
东城区,2026-05-07,23,23.2,,50
