station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-03,0,77.3,,160
东城区,2026-05-03,1,78.6,,160
东城区,2026-05-03,2,70.0,,160
东城区,2026-05-03,3,72.2,,160
东城区,2026-05-03,4,67.1,,160
东城区,2026-05-03,5,67.5,,160
东城区,2026-05-03,6,65.3,,160
东城区,2026-05-03,7,66.6,,160
东城区,2026-05-03,8,63.3,,160
东城区,2026-05-03,9,74.0,,160
东城区,2026-05-03,10,80.2,,160
东城区,2026-05-03,11,86.5,,160
东城区,2026-05-03,12,93.4,,160
东城区,2026-05-03,13,89.9,,160
东城区,2026-05-03,14,102.6,,160
东城区,2026-05-03,15,114.5,,160
东城区,2026-05-03,16,108.9,,160
东城区,2026-05-03,17,113.6,,160
东城区,2026-05-03,18,105.1,,160
东城区,2026-05-03,19,103.3,,160
东城区,2026-05-03,20,101.0,,160
东城区,2026-05-03,21,89.8,,160
东城区,2026-05-03,22,95.3,,160
东城区,2026-05-03,23,87.4,,160
