station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-09,0,75.2,,160
东城区,2026-05-09,1,70.5,,160
东城区,2026-05-09,2,79.4,,160
东城区,2026-05-09,3,81.3,,160
东城区,2026-05-09,4,76.2,,160
东城区,2026-05-09,5,82.8,,160
东城区,2026-05-09,6,71.4,,160
东城区,2026-05-09,7,75.7,,160
东城区,2026-05-09,8,75.2,,160
东城区,2026-05-09,9,87.7,,160
东城区,2026-05-09,10,96.9,,160
东城区,2026-05-09,11,112.7,,160
东城区,2026-05-09,12,128.7,,160
东城区,2026-05-09,13,135.8,,160
东城区,2026-05-09,14,149.7,,160
东城区,2026-05-09,15,159.6,,160
东城区,2026-05-09,16,161.9,,160
东城区,2026-05-09,17,159.6,,160
东城区,2026-05-09,18,150.8,,160
东城区,2026-05-09,19,145.6,,160
东城区,2026-05-09,20,135.1,,160
东城区,2026-05-09,21,129.5,,160
东城区,2026-05-09,22,116.5,,160
东城区,2026-05-09,23,99.3,,160
