pollutant,site_name,station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
o3,晋江一中,东城区,2026-05-15,7,85.7,,160,70.59,0.0
o3,晋江一中,东城区,2026-05-15,8,69.2,,160,73.49,0.0
o3,晋江一中,东城区,2026-05-15,9,91.2,,160,80.26,0.0
o3,晋江一中,东城区,2026-05-15,10,81.1,,160,90.4,0.0
o3,晋江一中,东城区,2026-05-15,11,88.8,,160,89.25,0.0
o3,晋江一中,东城区,2026-05-15,12,88.6,,160,88.2,0.0
o3,晋江一中,东城区,2026-05-15,13,74.0,,160,84.58,0.0
o3,晋江一中,东城区,2026-05-15,14,107.6,,160,85.78,0.0
o3,晋江一中,东城区,2026-05-15,15,118.0,,160,89.81,0.0
o3,晋江一中,东城区,2026-05-15,16,120.2,,160,96.19,0.0
o3,晋江一中,东城区,2026-05-15,17,106.6,,160,98.11,0.0
o3,晋江一中,东城区,2026-05-15,18,112.1,,160,101.99,0.0
o3,晋江一中,东城区,2026-05-15,19,114.5,,160,105.2,0.0
o3,晋江一中,东城区,2026-05-15,20,108.5,,160,107.69,0.0
o3,晋江一中,东城区,2026-05-15,21,98.9,,160,110.8,0.0
o3,晋江一中,东城区,2026-05-15,22,91.9,,160,108.84,0.0
o3,晋江一中,东城区,2026-05-15,23,88.1,,160,105.1,0.0
o3,晋江一中,东城区,2026-05-16,0,81.1,,160,100.21,0.0
o3,晋江一中,东城区,2026-05-16,1,69.0,,160,95.51,0.0
o3,晋江一中,东城区,2026-05-16,2,55.5,,160,88.44,0.0
o3,晋江一中,东城区,2026-05-16,3,58.0,,160,81.38,0.0
o3,晋江一中,东城区,2026-05-16,4,54.1,,160,74.58,0.0
o3,晋江一中,东城区,2026-05-16,5,59.1,,160,69.6,0.0
o3,晋江一中,东城区,2026-05-16,6,70.6,,160,66.94,0.0
