station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-15,7,85.7,,160
东城区,2026-05-15,8,69.2,,160
东城区,2026-05-15,9,91.2,,160
东城区,2026-05-15,10,81.1,,160
东城区,2026-05-15,11,88.8,,160
东城区,2026-05-15,12,88.6,,160
东城区,2026-05-15,13,74.0,,160
东城区,2026-05-15,14,107.6,,160
东城区,2026-05-15,15,118.0,,160
东城区,2026-05-15,16,120.2,,160
东城区,2026-05-15,17,106.6,,160
东城区,2026-05-15,18,112.1,,160
东城区,2026-05-15,19,114.5,,160
东城区,2026-05-15,20,108.5,,160
东城区,2026-05-15,21,98.9,,160
东城区,2026-05-15,22,91.9,,160
东城区,2026-05-15,23,88.1,,160
东城区,2026-05-16,0,81.1,,160
东城区,2026-05-16,1,69.0,,160
东城区,2026-05-16,2,55.5,,160
东城区,2026-05-16,3,58.0,,160
东城区,2026-05-16,4,54.1,,160
东城区,2026-05-16,5,59.1,,160
东城区,2026-05-16,6,70.6,,160
