station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-05-02,0,87.0,,160
东城区,2026-05-02,1,88.1,,160
东城区,2026-05-02,2,86.8,,160
东城区,2026-05-02,3,88.2,,160
东城区,2026-05-02,4,78.4,,160
东城区,2026-05-02,5,73.7,,160
东城区,2026-05-02,6,62.2,,160
东城区,2026-05-02,7,67.5,,160
东城区,2026-05-02,8,73.0,,160
东城区,2026-05-02,9,73.0,,160
东城区,2026-05-02,10,71.5,,160
东城区,2026-05-02,11,71.2,,160
东城区,2026-05-02,12,81.2,,160
东城区,2026-05-02,13,78.6,,160
东城区,2026-05-02,14,86.6,,160
东城区,2026-05-02,15,92.0,,160
东城区,2026-05-02,16,88.1,,160
东城区,2026-05-02,17,87.2,,160
东城区,2026-05-02,18,85.5,,160
东城区,2026-05-02,19,82.1,,160
东城区,2026-05-02,20,82.0,,160
东城区,2026-05-02,21,74.9,,160
东城区,2026-05-02,22,78.6,,160
东城区,2026-05-02,23,73.9,,160
